e1	a1	l1	r1	a2	l2	r2	a3	b3	l3	r3	a4	b4	l4	r4	a5	b5	l5	r5
    46.00000	     5.58516	   275.49084	   305.79367	     2.24144	   276.99077	   299.14598	     4.36054	     1.23623	   271.15989	   305.79367	     4.61451	     2.03323	   270.85377	   305.79367	     4.05046	     2.63280	   264.84227	   305.79367	
    42.00000	     8.00235	   234.40697	   279.20291	     4.30315	   229.61856	   272.55522	     5.44490	     3.32149	   221.66417	   279.20291	     6.47937	     4.05785	   223.01556	   279.20291	     6.16601	     4.14335	   221.29416	   279.20291	
    36.00000	     6.69008	   209.77051	   239.31678	     3.63286	   201.93381	   232.66909	     4.36904	     2.84730	   199.25096	   239.31678	     5.32518	     3.23840	   200.60960	   239.31678	     4.62822	     4.00437	   196.17993	   239.31678	
    26.00000	    12.38886	   125.95526	   172.83990	     5.66768	   128.78977	   166.19221	     9.79408	     4.81241	   114.72946	   172.83990	    11.17825	     7.31586	   110.45055	   172.83990	    10.71046	     7.57961	   107.64230	   172.83990	
    24.00000	     9.16863	   129.41907	   159.54452	     3.17346	   135.29849	   152.89683	     7.70031	     1.83249	   126.62757	   159.54452	     8.03997	     3.85663	   123.24711	   159.54452	     7.61616	     2.82177	   124.36098	   159.54452	
    34.00000	     9.06453	   183.73658	   226.02140	     4.48241	   182.20227	   219.37372	     6.70085	     3.33917	   173.19869	   226.02140	     7.77754	     6.51094	   167.00198	   226.02140	     7.13077	     5.00596	   169.39295	   226.02140	
    22.00000	    12.91221	   104.43803	   146.24914	     5.91840	   106.44289	   139.60146	    12.14660	     6.32324	    89.40246	   146.24914	    13.23333	     9.49319	    88.95824	   146.24914	    12.50934	     7.77173	    88.83961	   146.24914	
    39.00000	     7.62336	   219.35026	   259.25985	     3.96980	   209.32353	   252.61216	     5.21145	     3.50965	   201.59262	   259.25985	     6.64459	     4.53562	   201.61752	   259.25985	     5.86067	     4.94028	   199.57289	   259.25985	
    33.00000	     6.36062	   193.59382	   219.37372	     3.45874	   188.28976	   212.72603	     4.31760	     2.35946	   187.07889	   219.37372	     5.11736	     5.26843	   181.16451	   219.37372	     4.61777	     3.56442	   184.44688	   219.37372	
    43.00000	     9.01531	   233.06818	   285.85060	     5.42742	   219.19015	   279.20291	     6.68120	     5.09703	   206.08875	   285.85060	     8.21519	     7.14229	   205.76539	   285.85060	     7.50075	     6.26369	   205.92765	   285.85060	
    29.00000	    11.24352	   145.32425	   192.78296	     4.87503	   150.20424	   186.13527	     9.19114	     4.12640	   134.68538	   192.78296	    10.07723	     3.46542	   140.52872	   192.78296	     9.64129	     5.61481	   132.59500	   192.78296	
    38.00000	     8.28292	   210.33103	   252.61216	     4.73101	   204.00295	   245.96447	     5.99312	     3.69087	   195.71531	   252.61216	     7.13322	     5.62081	   196.99053	   252.61216	     6.28156	     5.40799	   191.22308	   252.61216	
    26.00000	     9.48659	   138.00490	   172.83990	     3.33110	   148.08559	   166.19221	     8.25820	     1.56535	   136.05669	   172.83990	     8.84937	     3.29443	   135.11522	   172.83990	     8.12652	     2.78721	   133.65427	   172.83990	
    41.00000	     8.02847	   228.44863	   272.55522	     4.46536	   221.80938	   265.90753	     5.42177	     3.47325	   214.26410	   272.55522	     6.40977	     4.46532	   214.99660	   272.55522	     6.03013	     5.06114	   208.68700	   272.55522	
    37.00000	     7.24000	   211.54925	   245.96447	     3.25487	   209.42762	   239.31678	     5.31246	     2.47189	   202.35918	   245.96447	     5.64350	     4.03558	   196.55935	   245.96447	     5.63110	     4.11650	   198.07166	   245.96447	
    29.00000	     9.76690	   153.34292	   192.78296	     4.39213	   157.52517	   186.13527	     7.85304	     3.09977	   146.62493	   192.78296	     8.79627	     4.75898	   145.45516	   192.78296	     8.47570	     3.30945	   147.88987	   192.78296	
    31.00000	     9.05121	   168.20348	   206.07834	     3.03748	   180.20135	   199.43065	     8.04244	     1.04673	   166.97204	   206.07834	     8.69386	     3.53009	   166.52911	   206.07834	     7.42962	     3.28355	   161.54665	   206.07834	
    33.00000	     7.99569	   184.28446	   219.37372	     3.48597	   186.51217	   212.72603	     6.09016	     2.27000	   178.87981	   219.37372	     6.92348	     3.05227	   179.23080	   219.37372	     6.13869	     3.73855	   174.82070	   219.37372	
    27.00000	     9.10807	   145.95131	   179.48759	     5.89161	   132.90368	   172.83990	     6.11460	     5.29698	   129.18266	   179.48759	     7.13410	     7.57687	   127.77192	   179.48759	     7.07755	     6.79796	   125.47167	   179.48759	
    26.00000	     8.10698	   144.88736	   172.83990	     3.44238	   147.07024	   166.19221	     6.53523	     1.86097	   141.49308	   172.83990	     7.29210	     5.80148	   139.30772	   172.83990	     6.74769	     2.86411	   141.10557	   172.83990	
    21.00000	     9.92390	   111.16412	   139.60146	     5.76367	   105.85812	   132.95377	     7.15707	     4.56098	   102.44559	   139.60146	     8.19819	     5.80740	   102.22806	   139.60146	     7.80333	     6.91951	    99.38554	   139.60146	
    57.00000	     4.84654	   348.23708	   378.91824	     2.51627	   338.59224	   372.27055	     3.13617	     1.91772	   336.27169	   378.91824	     3.60355	     3.98448	   327.21529	   378.91824	     3.06324	     3.83234	   316.60073	   378.91824	
    48.00000	     7.63495	   270.76777	   319.08904	     3.84449	   269.87432	   312.44135	     5.45865	     2.70320	   259.87717	   319.08904	     6.44869	     3.31544	   261.61681	   319.08904	     5.74438	     4.01515	   256.03541	   319.08904	
    38.00000	    10.21904	   198.44774	   252.61216	     4.77680	   201.40366	   245.96447	     8.16793	     3.65160	   185.54971	   252.61216	     9.01290	     4.70351	   186.69195	   252.61216	     8.64237	     4.70679	   182.93896	   252.61216	
    26.00000	    10.45358	   134.39975	   172.83990	     3.59273	   146.35960	   166.19221	     9.20130	     1.66034	   132.50974	   172.83990	    10.06597	     3.77667	   132.98508	   172.83990	     9.25905	     2.92889	   130.99152	   172.83990	
    37.00000	     9.51263	   196.58723	   245.96447	     4.82262	   195.49182	   239.31678	     7.28355	     3.96648	   182.43749	   245.96447	     9.16048	     6.54068	   180.51629	   245.96447	     7.96882	     5.39240	   176.85997	   245.96447	
    37.00000	    10.28277	   191.75091	   245.96447	     4.36012	   200.41715	   239.31678	     8.18454	     3.09612	   182.85999	   245.96447	     8.93410	     7.03597	   171.96982	   245.96447	     8.63585	     5.58048	   173.63774	   245.96447	
    39.00000	     6.31969	   229.27217	   259.25985	     3.64982	   222.76678	   252.61216	     4.27956	     2.63649	   220.25781	   259.25985	     5.06072	     2.76266	   223.32598	   259.25985	     4.38463	     4.61723	   213.06080	   259.25985	
    40.00000	     8.13457	   222.81398	   265.90753	     5.15649	   208.72922	   259.25985	     5.23339	     4.22592	   203.53545	   265.90753	     6.57491	     4.85889	   208.06326	   265.90753	     5.79654	     6.89068	   195.63509	   265.90753	
    35.00000	     8.40173	   193.36528	   232.66909	     3.66565	   196.69469	   226.02140	     6.49315	     2.35541	   187.19813	   232.66909	     7.81494	     1.92226	   191.29858	   232.66909	     6.55133	     3.95575	   181.73243	   232.66909	
    37.00000	     9.21525	   198.75089	   245.96447	     4.49577	   197.65849	   239.31678	     6.98830	     3.57718	   185.98929	   245.96447	     8.24412	     5.76730	   183.60491	   245.96447	     7.34170	     6.58107	   174.10333	   245.96447	
